          19   50.1464       3.43355      0.116728E-36  0.279572E-16  0.640646E-13  0.878151E-17  0.744347E-16  0.498301E-15  0.297962E-16  0.223222E-15  0.100759E-15  0.530525E-16  0.540284E-15  0.126652E-15  0.228581E-15  0.293857E-15  0.205778E-15  0.719908E-19  0.166225E-18
          20   50.1631       3.43391      0.116712E-36  0.279648E-16  0.640684E-13  0.878037E-17  0.744245E-16  0.498477E-15  0.297923E-16  0.223298E-15  0.100800E-15  0.530775E-16  0.540357E-15  0.126669E-15  0.228658E-15  0.294005E-15  0.205997E-15  0.721256E-19  0.166674E-18
          21   50.1807       3.43428      0.116694E-36  0.279728E-16  0.640725E-13  0.877916E-17  0.744138E-16  0.498663E-15  0.297882E-16  0.223379E-15  0.100844E-15  0.531038E-16  0.540433E-15  0.126685E-15  0.228740E-15  0.294160E-15  0.206229E-15  0.722679E-19  0.167149E-18
          22   50.1992       3.43467      0.116676E-36  0.279812E-16  0.640768E-13  0.877790E-17  0.744025E-16  0.498858E-15  0.297838E-16  0.223463E-15  0.100890E-15  0.531315E-16  0.540513E-15  0.126703E-15  0.228825E-15  0.294324E-15  0.206473E-15  0.724176E-19  0.167650E-18
          23   50.2187       3.43508      0.116657E-36  0.279901E-16  0.640813E-13  0.877657E-17  0.743907E-16  0.499063E-15  0.297792E-16  0.223551E-15  0.100939E-15  0.531606E-16  0.540597E-15  0.126722E-15  0.228915E-15  0.294496E-15  0.206728E-15  0.725750E-19  0.168176E-18
          24   50.2390       3.43551      0.116637E-36  0.279993E-16  0.640861E-13  0.877518E-17  0.743783E-16  0.499277E-15  0.297745E-16  0.223644E-15  0.100989E-15  0.531910E-16  0.540685E-15  0.126742E-15  0.229009E-15  0.294675E-15  0.206996E-15  0.727399E-19  0.168727E-18
          25   50.2602       3.43596      0.116616E-36  0.280090E-16  0.640910E-13  0.877373E-17  0.743654E-16  0.499501E-15  0.297695E-16  0.223740E-15  0.101042E-15  0.532227E-16  0.540777E-15  0.126762E-15  0.229106E-15  0.294863E-15  0.207276E-15  0.729124E-19  0.169305E-18
          26   50.2824       3.43643      0.116594E-36  0.280190E-16  0.640961E-13  0.877221E-17  0.743520E-16  0.499734E-15  0.297643E-16  0.223841E-15  0.101097E-15  0.532558E-16  0.540873E-15  0.126783E-15  0.229208E-15  0.295058E-15  0.207568E-15  0.730926E-19  0.169910E-18
          27   50.3054       3.43692      0.116571E-36  0.280295E-16  0.641015E-13  0.877064E-17  0.743380E-16  0.499977E-15  0.297589E-16  0.223946E-15  0.101155E-15  0.532902E-16  0.540972E-15  0.126805E-15  0.229315E-15  0.295262E-15  0.207872E-15  0.732804E-19  0.170540E-18
          28   50.3294       3.43743      0.116548E-36  0.280403E-16  0.641070E-13  0.876901E-17  0.743235E-16  0.500229E-15  0.297533E-16  0.224055E-15  0.101214E-15  0.533260E-16  0.541076E-15  0.126828E-15  0.229425E-15  0.295473E-15  0.208188E-15  0.734760E-19  0.171198E-18
          29   50.3542       3.43795      0.116523E-36  0.280516E-16  0.641128E-13  0.876731E-17  0.743084E-16  0.500490E-15  0.297475E-16  0.224168E-15  0.101276E-15  0.533632E-16  0.541183E-15  0.126852E-15  0.229539E-15  0.295693E-15  0.208516E-15  0.736794E-19  0.171882E-18
          30   50.3800       3.43849      0.116498E-36  0.280633E-16  0.641187E-13  0.876556E-17  0.742928E-16  0.500761E-15  0.297415E-16  0.224285E-15  0.101340E-15  0.534016E-16  0.541294E-15  0.126877E-15  0.229658E-15  0.295920E-15  0.208856E-15  0.738905E-19  0.172593E-18
          31   50.4066       3.43906      0.116472E-36  0.280754E-16  0.641249E-13  0.876374E-17  0.742766E-16  0.501042E-15  0.297353E-16  0.224406E-15  0.101406E-15  0.534415E-16  0.541409E-15  0.126902E-15  0.229780E-15  0.296155E-15  0.209209E-15  0.741096E-19  0.173332E-18
          32   50.4342       3.43964      0.116445E-36  0.280878E-16  0.641313E-13  0.876187E-17  0.742599E-16  0.501332E-15  0.297288E-16  0.224531E-15  0.101475E-15  0.534827E-16  0.541528E-15  0.126929E-15  0.229907E-15  0.296399E-15  0.209574E-15  0.743365E-19  0.174099E-18
          33   50.4626       3.44024      0.116417E-36  0.281007E-16  0.641379E-13  0.875993E-17  0.742427E-16  0.501631E-15  0.297222E-16  0.224661E-15  0.101546E-15  0.535252E-16  0.541651E-15  0.126956E-15  0.230038E-15  0.296650E-15  0.209951E-15  0.745715E-19  0.174893E-18
          34   50.4920       3.44086      0.116388E-36  0.281140E-16  0.641447E-13  0.875793E-17  0.742249E-16  0.501940E-15  0.297153E-16  0.224794E-15  0.101619E-15  0.535691E-16  0.541777E-15  0.126984E-15  0.230173E-15  0.296909E-15  0.210341E-15  0.748144E-19  0.175716E-18
          35   50.5223       3.44150      0.116358E-36  0.281277E-16  0.641517E-13  0.875588E-17  0.742066E-16  0.502258E-15  0.297083E-16  0.224931E-15  0.101694E-15  0.536143E-16  0.541908E-15  0.127013E-15  0.230312E-15  0.297176E-15  0.210743E-15  0.750654E-19  0.176567E-18
          36   50.5535       3.44216      0.116328E-36  0.281417E-16  0.641589E-13  0.875376E-17  0.741878E-16  0.502586E-15  0.297010E-16  0.225073E-15  0.101772E-15  0.536609E-16  0.542042E-15  0.127043E-15  0.230455E-15  0.297451E-15  0.211157E-15  0.753245E-19  0.177447E-18
          37   50.5855       3.44283      0.116296E-36  0.281562E-16  0.641663E-13  0.875159E-17  0.741685E-16  0.502923E-15  0.296936E-16  0.225219E-15  0.101852E-15  0.537088E-16  0.542180E-15  0.127074E-15  0.230603E-15  0.297734E-15  0.211584E-15  0.755917E-19  0.178356E-18
          38   50.6185       3.44353      0.116264E-36  0.281711E-16  0.641739E-13  0.874935E-17  0.741486E-16  0.503269E-15  0.296859E-16  0.225368E-15  0.101934E-15  0.537581E-16  0.542321E-15  0.127105E-15  0.230754E-15  0.298025E-15  0.212023E-15  0.758672E-19  0.179294E-18
          39   50.6524       3.44424      0.116231E-36  0.281863E-16  0.641818E-13  0.874705E-17  0.741282E-16  0.503625E-15  0.296780E-16  0.225522E-15  0.102018E-15  0.538087E-16  0.542467E-15  0.127138E-15  0.230909E-15  0.298324E-15  0.212475E-15  0.761510E-19  0.180263E-18
          40   50.6872       3.44498      0.116197E-36  0.282020E-16  0.641898E-13  0.874470E-17  0.741072E-16  0.503990E-15  0.296699E-16  0.225680E-15  0.102104E-15  0.538607E-16  0.542616E-15  0.127171E-15  0.231069E-15  0.298631E-15  0.212939E-15  0.764432E-19  0.181261E-18
          41   50.7229       3.44573      0.116162E-36  0.282180E-16  0.641981E-13  0.874229E-17  0.740857E-16  0.504365E-15  0.296617E-16  0.225842E-15  0.102193E-15  0.539140E-16  0.542769E-15  0.127205E-15  0.231232E-15  0.298946E-15  0.213416E-15  0.767437E-19  0.182290E-18
          42   50.7595       3.44650      0.116126E-36  0.282344E-16  0.642065E-13  0.873981E-17  0.740637E-16  0.504749E-15  0.296532E-16  0.226008E-15  0.102284E-15  0.539686E-16  0.542926E-15  0.127240E-15  0.231400E-15  0.299269E-15  0.213905E-15  0.770528E-19  0.183349E-18
          43   50.7970       3.44729      0.116090E-36  0.282513E-16  0.642152E-13  0.873728E-17  0.740412E-16  0.505142E-15  0.296445E-16  0.226178E-15  0.102377E-15  0.540246E-16  0.543087E-15  0.127275E-15  0.231572E-15  0.299600E-15  0.214407E-15  0.773704E-19  0.184440E-18
          44   50.8354       3.44810      0.116052E-36  0.282685E-16  0.642241E-13  0.873469E-17  0.740182E-16  0.505545E-15  0.296356E-16  0.226352E-15  0.102473E-15  0.540820E-16  0.543251E-15  0.127312E-15  0.231748E-15  0.299938E-15  0.214922E-15  0.776966E-19  0.185562E-18
          45   50.8747       3.44892      0.116014E-36  0.282861E-16  0.642331E-13  0.873204E-17  0.739946E-16  0.505957E-15  0.296265E-16  0.226530E-15  0.102571E-15  0.541407E-16  0.543419E-15  0.127349E-15  0.231927E-15  0.300285E-15  0.215450E-15  0.780315E-19  0.186716E-18
          46   50.9149       3.44977      0.115975E-36  0.283041E-16  0.642424E-13  0.872933E-17  0.739705E-16  0.506378E-15  0.296172E-16  0.226712E-15  0.102671E-15  0.542007E-16  0.543591E-15  0.127388E-15  0.232111E-15  0.300640E-15  0.215990E-15  0.783751E-19  0.187903E-18
